RESPID;Q2_How many powerboats do you currently own?;Q2_Cluster_Own a boat?;Q4_Approximately how much did you pay for your current Boat?;Q5_What is the horse power of your engine brand/current boat engine? (the boat you want to buy);Q6_Length of Boat (in Feet);Q8_How would you rate your experience regarding boating?;Q10_During your boating season, how many days out of the year do you typically use your boat;Q11_Gender;Q12_HOUSEHOLD income;Q13_Are you now married, widowed, divorced, separated, never married, or living with a partner?;Q14_Current Employment Status;Q17_Recommend;Q18_PurchaseFuture
481331;0;0;7;5;40;1;150;2;11;2;5;1;1
222863;1;1;2;5;18;2;14;1;1;3;5;0;1
230156;0;0;3;5;28;2;25;1;13;1;5;1;1
238724;0;0;4;5;22;2;45;2;14;2;5;0;1
231332;2;1;6;5;30;2;30;1;16;1;1;0;1
227364;0;0;5;5;28;2;80;1;19;1;1;1;1
477559;0;0;3;5;28;1;90;2;12;1;1;0;1
471709;0;0;5;5;45;1;15;1;13;6;2;0;1
421914;1;1;3;5;45;2;30;2;1;3;7;0;1
479683;1;1;3;5;26;2;20;2;16;1;7;1;1
229968;1;1;1;5;22;1;20;1;1;1;1;0;1
472236;0;0;4;5;25;2;25;1;16;1;1;0;1
478930;0;0;6;5;28;1;30;1;16;1;1;0;1
226382;1;1;2;5;20;2;60;1;19;1;1;0;1
224792;0;0;2;5;27;1;150;2;15;5;1;0;1
480075;1;1;2;5;24;2;21;1;16;6;1;0;1
2127;0;0;5;5;25;2;50;1;15;5;4;1;0
7176;1;1;7;5;20;1;10;2;15;1;2;0;0
4904;1;1;5;5;25;2;45;1;13;1;5;0;0
20494;0;0;2;5;20;3;30;1;1;5;1;0;0
13003;1;1;2;5;14;2;30;2;1;6;3;0;0
7701;1;1;2;5;17;2;20;1;13;1;1;0;0
18453;1;1;5;5;15;2;10;1;13;1;1;0;0
15402;1;1;4;5;28;1;3;1;12;3;5;0;0
474447;1;1;6;5;28;2;15;2;19;1;7;0;0
1119;0;0;4;5;25;1;30;1;16;6;1;1;0
21129;0;0;1;5;98;1;60;1;1;5;3;0;0
7506;1;1;4;5;24;3;30;2;17;1;1;0;0
422088;0;0;4;5;27;1;10;2;11;5;1;0;0
20193;2;1;3;5;30;3;60;2;12;1;1;0;0
2438;1;1;4;5;20;2;30;2;14;1;2;0;0
21068;0;0;2;5;28;1;100;1;13;3;1;0;0
19295;1;1;3;5;17;2;20;2;1;3;2;0;0
13069;1;1;6;5;25;2;100;2;16;2;6;0;0
422983;1;1;4;5;18;4;65;1;1;1;1;1;1
222406;0;0;5;5;30;3;90;1;19;1;2;1;1
227098;2;1;2;5;18;3;50;2;19;1;1;1;1
236376;1;1;2;5;21;3;100;2;17;6;1;1;1
233482;0;0;3;5;21;4;30;1;11;1;1;1;1
222357;2;1;4;5;40;3;4;2;13;1;5;1;1
231489;1;1;4;5;18;4;10;2;18;1;2;1;1
486979;1;1;4;5;5;2;2;2;1;1;4;0;1
422221;0;0;1;5;10;1;10;2;15;1;7;1;1
479463;1;1;3;5;14;3;40;2;1;2;6;1;1
231006;2;1;4;5;28;2;40;2;16;1;1;0;1
228894;1;1;11;5;40;2;40;1;19;1;2;0;1
2509;2;1;3;5;25;2;50;1;12;5;1;1;0
7642;1;1;5;5;18;3;180;1;16;6;2;1;0
10041;1;1;5;5;26;3;25;2;17;3;1;1;0
234083;2;1;5;5;40;3;80;1;17;1;1;0;0
22312;1;1;3;5;21;3;45;1;17;1;1;0;0
2594;2;1;1;5;6;3;7;2;14;1;5;1;0
4420;1;1;4;5;20;2;30;2;19;1;1;1;0
3626;0;0;2;5;28;2;200;2;13;1;5;0;0
19059;1;1;3;5;28;2;40;2;10;1;7;0;0
160;1;1;3;5;21;4;70;2;11;1;1;1;0
20787;1;1;4;5;30;3;60;2;11;1;1;0;0
471913;1;1;11;5;18;2;20;1;15;1;1;0;0
229946;2;1;4;5;18;3;45;2;16;1;4;0;0
11502;1;1;4;5;15;1;100;2;13;6;7;0;0
3455;0;0;2;5;21;3;30;1;14;5;1;1;0
2600;2;1;11;5;20;4;70;2;15;3;6;0;0
8816;1;1;7;5;28;2;30;2;16;1;1;0;0
2439;1;1;4;5;27;3;30;1;12;1;1;0;0
19219;1;1;6;5;20;2;5;1;15;5;1;0;0
473689;1;1;5;5;30;4;60;2;1;6;2;0;0
226409;1;1;3;5;27;2;60;2;12;6;1;1;1
478467;1;1;9;5;45;3;60;1;19;1;1;0;1
476901;0;0;4;5;22;1;75;1;1;1;5;0;1
226854;0;0;4;5;28;2;150;1;18;1;2;0;1
486157;2;1;5;5;27;3;65;1;13;1;2;1;1
480122;1;1;3;5;21;3;30;1;16;1;1;0;1
232580;1;1;5;5;30;3;30;1;17;1;2;0;1
472592;1;1;4;5;22;3;20;1;17;1;1;1;1
423187;1;1;4;5;28;2;30;1;18;1;1;1;1
477113;0;0;2;5;10;3;45;1;11;3;1;0;1
476388;1;1;11;5;18;3;90;1;12;1;1;0;1
229868;1;1;6;5;27;2;6;2;18;1;5;1;1
482047;1;1;3;5;13;2;123;1;13;1;4;1;1
474718;0;0;8;5;55;2;50;1;1;3;6;1;1
233552;2;1;4;5;28;3;50;1;16;1;5;1;1
226160;1;1;4;5;40;2;10;2;14;1;4;1;1
227318;1;1;11;5;28;3;20;2;1;1;1;1;1
229516;2;1;3;5;25;4;30;1;19;1;1;1;1
475944;1;1;4;5;43;3;30;1;17;1;5;0;1
233659;0;0;5;5;131;2;24;1;17;2;2;0;1
225985;1;1;2;5;17;3;100;1;10;1;1;1;1
14688;0;0;3;5;22;2;34;1;16;1;1;0;0
489965;1;1;3;5;22;3;35;2;12;1;1;0;0
2260;1;1;2;5;25;4;60;1;18;1;1;1;0
2925;2;1;5;5;20;2;9;1;19;1;1;0;0
3140;1;1;5;5;25;4;20;1;19;1;1;1;0
5918;1;1;3;5;24;2;20;1;15;1;2;0;0
10037;0;0;1;5;6;2;20;2;10;1;7;0;0
221345;1;1;4;5;28;2;60;2;14;5;1;0;0
1086;1;1;3;5;24;2;20;2;11;1;1;0;0
225323;1;1;4;5;24;2;50;1;12;1;1;1;0
17378;0;0;1;5;22;1;30;2;15;1;7;0;0
2993;1;1;2;5;40;2;60;2;12;1;7;1;0
236078;1;1;11;5;27;3;10;2;13;1;6;0;0
19729;2;1;4;5;25;3;120;1;1;1;6;1;0
17773;1;1;4;5;40;3;180;2;1;1;2;0;0
487762;1;1;11;5;20;1;10;2;14;1;1;0;0
11045;1;1;1;5;17;3;20;1;16;1;1;0;0
546;1;1;6;5;38;2;30;1;13;3;2;0;0
231708;2;1;7;5;27;2;60;2;17;1;1;0;0
230814;1;1;4;5;21;3;60;1;17;1;1;0;0
21535;1;1;7;5;36;3;200;1;17;1;2;0;0
421470;1;1;3;5;25;3;60;2;1;6;2;1;1
226250;2;1;8;5;35;3;40;1;19;1;1;1;1
422381;1;1;6;5;25;3;16;1;17;1;2;1;1
422682;4;1;3;5;10;4;15;1;1;5;1;0;1
423076;2;1;5;5;35;3;20;1;19;1;1;1;1
481115;1;1;3;5;30;2;20;1;1;5;6;0;1
422208;3;1;4;5;20;2;5;1;12;5;1;1;1
222622;1;1;6;5;22;2;24;2;15;1;1;0;1
421521;2;1;11;5;6;1;30;1;1;5;1;0;1
480799;1;1;8;5;13;3;12;1;18;1;1;0;1
421169;0;0;2;5;25;2;25;2;12;1;1;1;1
232487;1;1;6;5;28;3;25;2;17;1;2;0;1
422604;1;1;2;5;18;2;15;1;1;3;6;0;1
421052;2;1;3;5;24;3;100;1;16;5;1;1;1
240858;0;0;3;5;22;2;45;1;18;1;1;1;1
421126;1;1;8;5;20;3;200;1;19;5;1;0;1
420195;2;1;3;5;25;2;30;1;12;5;1;0;1
224821;2;1;5;5;30;2;10;2;15;1;1;1;1
23465;0;0;2;5;18;2;120;1;1;1;5;0;1
421334;0;0;2;5;8;2;20;1;13;1;1;0;1
422646;2;1;6;5;25;1;1;2;15;1;2;0;1
471931;0;0;3;5;30;2;20;1;1;4;4;0;1
480068;0;0;4;5;25;2;60;1;16;1;1;0;1
227250;2;1;6;5;25;3;40;1;13;3;1;1;1
232782;1;1;3;5;18;2;5;1;17;1;1;0;1
421756;1;1;5;5;30;2;20;1;15;5;1;0;1
222778;1;1;7;5;32;2;15;1;19;1;2;0;1
224114;1;1;3;5;8;2;16;2;15;6;5;1;1
230846;1;1;5;5;29;2;200;1;19;1;2;0;1
236271;1;1;4;5;28;2;56;2;17;6;1;1;1
23107;1;1;6;5;20;2;20;1;17;1;1;0;1
421835;2;1;4;5;10;2;30;2;14;1;1;1;1
23884;2;1;6;5;15;2;15;1;16;3;2;0;1
420082;1;1;1;5;26;2;90;1;10;3;1;1;1
232690;1;1;9;5;35;2;30;1;19;1;2;1;1
226185;1;1;3;5;21;3;20;2;16;1;1;0;1
17439;0;0;4;5;45;1;30;1;16;1;2;0;0
20634;2;1;5;5;12;3;7;1;12;6;1;0;0
7024;0;0;7;5;26;3;100;1;18;1;1;1;0
3866;1;1;3;5;25;2;5;1;10;5;1;1;0
1725;1;1;4;5;11;3;11;1;12;5;1;0;0
9357;0;0;4;5;49;2;5;2;13;1;1;0;0
20050;0;0;6;5;32;2;200;1;13;1;1;0;0
3112;0;0;4;5;25;2;30;2;12;1;1;0;0
423303;4;1;5;5;26;3;43;1;12;1;1;0;0
13815;4;1;1;5;45;2;15;2;1;5;4;1;0
12482;1;1;3;5;21;2;55;1;12;1;1;0;0
952;1;1;3;5;15;2;30;2;14;1;1;1;0
21998;1;1;6;5;25;2;70;2;10;5;1;0;0
4033;1;1;5;5;27;2;35;1;16;1;1;0;0
14991;0;0;9;5;10;2;45;1;15;1;1;0;0
10890;1;1;4;5;22;2;60;1;10;5;1;0;0
8135;1;1;5;5;24;2;24;2;14;1;1;0;0
487241;0;0;3;5;35;1;20;1;16;1;1;0;0
5485;5;1;2;5;6;2;1;1;1;5;7;0;0
1456;2;1;7;5;45;3;5;2;15;4;3;1;0
4015;0;0;4;5;30;2;60;2;11;1;1;1;0
22846;1;1;5;5;6;1;3;1;13;1;2;1;0
3650;0;0;5;5;30;2;4;1;13;6;1;1;0
4247;1;1;6;5;24;3;30;2;16;1;1;0;0
3966;1;1;4;5;20;2;60;1;14;6;1;1;0
14777;2;1;8;5;25;2;100;1;12;1;1;0;0
9583;1;1;7;5;40;2;20;2;14;6;1;0;0
1749;0;0;6;5;25;2;30;1;16;1;1;0;0
2040;2;1;4;5;25;3;49;1;1;5;1;0;0
16534;0;0;11;5;25;1;150;1;11;1;3;1;0
12885;1;1;7;5;40;2;10;2;11;5;1;1;0
8217;1;1;4;5;7;2;2;2;15;1;1;0;0
7403;2;1;6;5;30;2;50;2;13;1;1;1;0
3136;1;1;4;5;30;4;10;1;13;5;2;1;0
22609;1;1;3;5;25;3;10;1;13;1;1;0;0
20898;0;0;7;5;30;2;30;1;12;5;1;0;0
1037;0;0;7;5;5;1;10;2;16;1;1;0;0
20595;0;0;3;5;24;2;30;2;15;1;1;0;0
1603;2;1;6;5;10;2;5;1;15;6;1;0;0
19186;1;1;5;5;15;3;30;1;12;1;2;0;0
13998;0;0;4;5;40;3;30;1;16;5;1;1;0
22883;0;0;4;5;40;2;60;1;13;1;1;0;0
420961;2;1;4;5;25;3;25;1;12;5;4;0;0
183;1;1;3;5;24;2;30;2;11;5;1;0;0
540;1;1;6;5;12;2;3;2;14;1;1;0;0
9552;0;0;5;5;6;2;15;1;13;5;1;1;0
2826;1;1;2;5;22;2;18;1;16;1;1;0;0
12143;2;1;6;5;50;3;15;1;13;5;1;1;0
234;1;1;6;5;35;2;25;2;19;1;1;0;0
8409;1;1;9;5;20;2;54;2;19;1;1;1;0
422700;3;1;3;5;25;2;100;2;1;1;7;0;0
22484;1;1;7;5;24;2;25;2;18;1;1;0;0
4518;1;1;5;5;22;2;100;1;16;1;1;1;0
37;0;0;4;5;5;1;20;1;12;1;1;0;0
3371;0;0;3;5;25;2;65;1;10;1;1;0;0
13080;1;1;4;5;25;2;60;1;10;5;1;1;0
10972;1;1;4;5;20;2;22;1;15;6;1;0;0
13747;0;0;4;5;25;2;30;2;14;1;1;0;0
9140;1;1;6;5;30;2;40;1;17;1;1;0;0
16379;1;1;7;5;35;2;30;1;14;6;1;0;0
1750;1;1;6;5;5;1;1;1;16;5;1;0;0
2355;1;1;5;5;30;3;50;1;12;1;1;0;0
23022;1;1;8;5;22;1;20;1;18;1;1;0;0
2708;2;1;6;5;22;2;20;1;13;1;2;1;0
12732;1;1;3;5;20;2;45;1;11;5;4;0;0
9273;1;1;4;5;14;3;15;1;14;1;1;1;0
1610;2;1;4;5;11;2;13;1;15;5;1;0;0
11015;2;1;4;5;45;1;60;1;11;5;1;1;0
481242;1;1;4;5;21;4;10;1;15;6;1;0;0
7743;0;0;7;5;22;1;60;1;15;1;1;0;0
22515;0;0;3;5;17;1;15;2;12;5;1;0;0
2468;1;1;7;5;5;2;5;2;17;1;2;0;0
2651;1;1;6;5;5;2;1;1;15;5;1;0;0
8738;0;0;1;5;11;1;23;2;15;2;7;0;0
236389;1;1;6;4;19;4;275;2;18;1;2;1;1
421581;0;0;3;4;20;2;30;2;12;1;1;1;1
420146;1;1;2;4;18;3;80;1;17;1;5;1;1
223787;1;1;5;4;18;1;60;1;16;3;2;0;1
232694;1;1;3;4;21;2;30;2;19;1;1;0;1
236774;1;1;3;4;17;1;25;2;15;1;1;1;1
223344;1;1;1;4;12;4;12;2;17;1;1;1;1
473036;0;0;11;4;36;1;20;1;10;2;5;0;1
421812;1;1;4;4;36;3;159;1;17;1;5;1;1
474854;1;1;4;4;21;3;180;1;16;1;1;1;1
229664;1;1;4;4;21;2;30;2;15;5;1;1;1
232257;1;1;3;4;18;2;20;1;16;1;2;0;1
484752;1;1;3;4;18;2;25;2;17;1;4;0;1
220107;0;0;3;4;20;2;25;1;16;1;1;0;1
420508;0;0;2;4;20;2;60;1;17;6;4;0;1
421654;1;1;6;4;23;2;20;1;19;1;1;0;1
421412;0;0;4;4;18;1;35;1;12;6;1;0;1
475557;0;0;4;4;30;1;60;1;10;5;1;1;1
241117;1;1;3;4;18;3;50;1;13;1;1;0;1
229640;1;1;6;4;33;3;70;1;19;1;1;0;1
423266;1;1;3;4;20;2;90;2;13;1;1;1;1
470696;1;1;4;4;18;3;21;1;14;1;1;0;1
226709;1;1;2;4;18;2;8;2;16;1;1;0;1
232522;1;1;8;4;32;3;30;1;16;1;2;0;1
233377;1;1;3;4;19;3;30;2;18;1;1;0;1
235705;1;1;2;4;18;3;30;1;19;1;1;0;1
477695;1;1;4;4;23;2;30;2;15;1;7;0;1
487472;1;1;4;4;24;3;75;2;1;2;5;0;1
15258;2;1;4;4;40;3;200;2;12;1;7;0;0
472847;1;1;4;4;23;2;20;1;17;1;1;0;0
5597;0;0;1;4;18;3;30;2;1;3;4;1;0
12259;0;0;4;4;18;2;21;2;12;5;1;1;0
8203;0;0;8;4;20;3;35;2;15;1;1;1;0
18323;7;1;5;4;35;4;90;2;13;1;1;1;0
222605;1;1;2;4;18;3;100;2;12;1;1;1;0
4146;0;0;5;4;18;2;35;1;17;1;1;1;0
18747;2;1;3;4;19;2;40;2;13;1;1;1;0
12234;0;0;3;4;18;2;50;2;13;1;2;0;0
1926;1;1;7;4;39;2;30;1;17;5;1;0;0
1366;2;1;3;4;18;3;24;1;16;1;1;0;0
10462;1;1;3;4;30;2;40;1;12;1;1;0;0
3105;1;1;7;4;18;3;150;2;18;5;1;1;0
10924;1;1;6;4;32;3;30;1;18;1;1;1;0
11730;0;0;4;4;18;2;50;1;14;1;1;0;0
17484;1;1;3;4;20;1;5;2;12;1;1;1;0
482797;0;0;5;4;20;2;35;2;13;1;4;0;0
4633;1;1;4;4;14;2;45;1;17;1;1;1;0
2209;1;1;2;4;17;4;25;1;1;2;1;1;0
21688;1;1;8;4;34;3;48;2;11;1;2;1;0
22941;1;1;3;4;21;2;45;1;16;1;1;0;0
121;0;0;5;4;20;2;30;1;12;6;1;1;0
21124;0;0;1;4;20;1;20;1;15;1;1;1;0
15414;1;1;6;4;30;2;120;1;16;5;1;1;0
5421;1;1;3;4;18;1;20;1;10;6;1;0;0
220261;0;0;4;4;30;1;25;2;18;1;1;0;0
5565;1;1;4;4;25;2;48;2;16;1;1;0;0
16932;0;0;7;4;38;2;60;2;13;4;2;0;0
21231;0;0;2;4;30;2;45;2;10;1;2;0;0
13012;4;1;6;4;40;3;35;1;16;5;2;1;0
12870;0;0;11;4;30;3;50;1;14;6;2;0;0
222197;1;1;4;4;23;3;80;1;19;1;5;0;0
224794;1;1;3;4;32;1;30;2;14;6;1;0;0
13424;0;0;5;4;20;3;50;2;18;1;1;0;0
22898;1;1;8;4;20;3;15;2;16;1;1;1;0
19913;1;1;7;4;33;3;6;2;16;1;1;1;0
11744;0;0;7;4;18;3;100;2;12;1;7;0;0
5848;0;0;6;4;30;2;20;1;17;1;1;1;0
1405;1;1;9;4;35;4;180;1;19;5;2;1;0
2394;2;1;3;4;12;3;8;1;19;1;1;1;0
1272;1;1;4;4;23;3;35;2;13;1;7;1;0
3088;1;1;4;4;20;4;25;1;16;6;1;1;0
421015;1;1;4;4;56;3;40;2;17;1;1;0;0
2177;1;1;3;4;22;2;25;1;19;1;1;0;0
2307;0;0;2;4;18;3;15;2;13;1;7;1;0
6801;1;1;5;4;32;2;20;1;13;5;2;0;0
477278;0;0;11;4;30;2;100;1;1;5;6;0;0
16503;0;0;3;4;18;2;24;1;18;1;1;0;0
2630;1;1;3;4;19;3;50;1;12;5;2;1;0
2843;1;1;3;4;18;3;30;2;12;1;2;0;0
484505;1;1;7;4;30;2;25;1;13;1;2;0;0
485199;1;1;3;4;30;2;22;1;1;5;4;1;1
228019;1;1;2;4;24;2;35;2;17;1;5;1;1
423185;1;1;6;4;15;2;90;2;13;5;1;0;1
229243;1;1;3;4;20;2;15;2;18;1;1;0;1
236328;3;1;4;4;18;3;30;1;16;6;1;1;1
480281;0;0;4;4;30;2;30;1;19;1;1;0;1
223715;0;0;3;4;30;2;30;2;19;3;1;0;1
222530;1;1;2;4;23;3;15;2;12;5;1;0;1
232844;2;1;3;4;20;1;20;2;10;6;1;0;1
470820;1;1;4;4;20;3;10;1;14;1;2;0;1
480302;1;1;4;4;23;2;20;1;18;1;1;1;1
235239;1;1;5;4;23;2;14;2;19;1;1;1;1
228330;0;0;5;4;20;2;120;2;17;1;5;1;1
477003;1;1;2;4;18;2;30;1;11;1;2;0;1
229211;0;0;5;4;30;1;30;1;15;6;1;0;1
486556;1;1;3;4;18;2;30;1;13;1;1;0;1
225074;1;1;4;4;23;2;100;2;19;1;5;0;1
488300;0;0;1;4;20;1;10;2;1;5;6;0;1
473936;0;0;4;4;20;2;30;2;17;6;1;0;1
232790;1;1;4;4;30;2;20;2;14;1;1;1;1
228290;0;0;11;4;23;1;40;2;15;6;1;0;1
23838;0;0;2;4;30;1;130;2;1;1;4;1;1
222420;0;0;4;4;30;2;30;2;17;1;1;0;1
232417;0;0;2;4;30;2;30;2;16;1;1;0;1
239643;1;1;2;4;18;2;25;2;15;1;1;0;1
489315;1;1;2;4;18;3;30;1;13;1;1;1;1
13769;1;1;3;4;20;2;20;1;15;1;2;1;0
488888;1;1;11;4;23;2;30;2;17;1;1;0;0
8359;1;1;3;4;22;2;30;2;10;3;1;0;0
10529;0;0;2;4;34;2;150;2;11;1;1;0;0
5229;0;0;3;4;18;2;70;1;13;1;1;1;0
226101;2;1;4;4;23;2;20;1;17;1;5;1;0
2346;1;1;3;4;30;2;21;2;12;1;7;0;0
228223;0;0;6;4;30;2;50;2;18;1;1;0;0
13043;1;1;4;4;35;4;30;2;17;1;1;0;0
1578;1;1;2;4;18;3;30;1;12;1;5;0;0
485702;1;1;4;4;23;1;30;2;19;1;1;0;0
19657;0;0;3;4;18;2;12;1;17;1;1;0;0
5364;1;1;11;4;18;2;20;1;17;1;1;0;0
9171;1;1;3;4;18;3;10;2;11;1;4;0;0
7609;0;0;4;4;30;1;90;1;11;5;1;0;0
10971;1;1;5;4;30;2;50;2;12;1;1;0;0
489116;0;0;11;4;20;2;30;1;16;1;1;0;0
21827;1;1;3;4;20;3;50;2;16;1;1;0;0
478452;0;0;1;4;20;1;30;2;16;1;7;0;0
6081;0;0;3;4;66;1;20;1;19;1;1;0;0
22604;0;0;2;4;30;2;50;2;11;6;1;0;0
23057;1;1;3;4;30;1;25;2;19;1;7;0;0
12253;0;0;11;4;20;1;20;2;13;5;6;0;0
619;1;1;2;4;30;2;30;2;1;6;2;1;0
9927;0;0;4;4;18;2;20;2;11;1;7;0;0
4305;0;0;11;4;30;1;30;2;14;1;2;0;0
472195;1;1;3;4;20;2;45;2;12;5;7;1;1
421145;1;1;3;4;21;2;100;1;13;1;1;1;1
223469;1;1;1;4;18;3;30;1;16;1;5;0;1
225706;1;1;5;4;18;3;30;1;12;6;1;1;1
222790;1;1;2;4;18;3;25;1;17;1;2;1;1
420754;0;0;2;4;30;2;10;1;10;5;1;1;1
227941;0;0;5;4;30;2;45;2;17;1;1;0;1
238511;1;1;7;4;24;3;45;1;19;1;1;0;1
470988;1;1;3;4;18;1;40;2;12;1;5;1;1
221247;1;1;3;4;21;3;15;2;16;1;1;0;1
422540;1;1;3;4;15;2;15;2;10;5;1;1;1
228202;1;1;2;4;18;1;20;1;13;1;1;0;1
235060;1;1;7;4;39;4;300;2;17;1;1;1;1
473686;1;1;5;4;30;2;30;1;10;2;5;0;1
473055;0;0;3;4;30;2;60;2;1;5;4;0;1
5169;1;1;4;4;36;2;30;1;17;1;2;0;0
2385;1;1;2;4;19;4;60;1;13;1;1;1;0
22977;1;1;4;4;20;2;25;2;12;1;1;1;0
22478;0;0;3;4;30;1;40;2;12;5;1;0;0
4626;1;1;4;4;20;2;60;2;13;5;1;0;0
225245;1;1;4;4;33;3;75;2;18;6;2;0;0
2134;1;1;3;4;18;2;50;1;13;1;1;0;0
5275;0;0;3;4;23;2;75;1;14;6;1;0;0
7799;0;0;4;4;30;2;50;1;14;1;2;0;0
2494;2;1;5;4;21;2;90;2;1;3;6;0;0
233622;1;1;7;4;38;2;40;2;19;1;7;0;0
12347;1;1;4;4;19;2;30;1;16;1;1;1;0
11725;0;0;4;4;30;1;35;2;16;1;7;0;0
471922;1;1;3;4;19;3;100;2;16;2;5;0;0
21797;1;1;2;4;18;3;50;2;11;1;6;0;0
229326;2;1;4;4;20;3;75;2;16;4;2;0;0
222826;2;1;1;4;12;3;20;1;15;1;5;0;0
421562;1;1;5;4;18;3;15;1;13;1;1;0;1
231165;1;1;1;4;18;3;35;1;17;1;2;0;1
236610;1;1;2;4;18;3;30;1;1;3;1;0;1
473982;1;1;5;4;36;3;30;1;14;5;1;0;1
470280;2;1;3;4;19;3;30;1;13;1;1;1;1
226128;2;1;5;4;25;4;120;1;13;1;5;1;1
237111;1;1;5;4;36;1;20;2;16;6;1;0;1
474931;1;1;1;4;18;3;100;1;15;1;1;0;1
225613;1;1;3;4;18;4;50;1;15;1;5;1;1
224843;1;1;5;4;30;1;50;2;17;1;1;1;1
222926;1;1;3;4;18;2;90;1;13;1;5;0;1
470050;1;1;3;4;18;3;20;1;18;1;1;1;1
235193;2;1;2;4;18;2;20;2;16;1;5;0;1
238890;1;1;3;4;18;3;60;1;14;1;1;0;1
232033;1;1;5;4;21;2;30;2;14;1;2;0;1
228933;2;1;3;4;20;2;20;1;16;1;1;0;1
230364;1;1;3;4;22;1;50;2;17;1;1;0;1
225601;1;1;1;4;18;4;40;2;11;1;5;0;1
474759;1;1;4;4;18;4;75;1;13;1;3;1;1
228179;1;1;7;4;32;2;100;1;17;6;1;0;1
482706;1;1;3;4;23;2;60;2;11;3;1;1;1
231247;1;1;2;4;18;3;40;1;13;6;1;1;1
232395;1;1;2;4;18;4;70;1;16;1;1;0;1
221967;1;1;4;4;22;3;30;2;19;1;1;1;1
235112;3;1;4;4;18;3;20;1;13;1;6;0;1
421739;1;1;2;4;18;2;25;1;13;1;2;0;1
220246;1;1;2;4;18;2;50;1;16;1;5;1;1
420289;1;1;3;4;30;2;30;2;10;5;7;1;1
478369;1;1;5;4;30;3;100;1;18;1;1;1;1
226428;1;1;5;4;30;1;20;1;19;1;1;0;1
480587;0;0;1;4;20;2;30;1;1;5;4;1;1
470792;0;0;5;4;23;3;200;1;17;1;2;0;1
225698;2;1;2;4;26;2;40;1;16;1;1;0;1
225127;1;1;11;4;18;3;35;1;15;1;5;1;1
232451;1;1;11;4;18;2;20;2;19;1;7;0;1
423109;1;1;1;4;18;3;120;2;11;1;5;0;1
223155;1;1;2;4;18;3;20;1;15;1;1;1;1
422830;0;0;4;4;23;3;365;2;13;1;1;0;1
236735;2;1;2;4;16;4;20;1;16;1;5;0;1
223890;1;1;2;4;18;3;20;1;14;1;1;0;1
225076;1;1;3;4;30;2;15;2;19;1;1;0;1
231478;1;1;4;4;18;2;24;1;13;1;2;0;1
222792;0;0;3;4;18;2;50;1;14;1;1;1;1
230362;1;1;2;4;18;3;25;1;1;1;5;0;1
18288;0;0;3;4;30;2;60;1;13;1;1;1;0
1295;1;1;2;4;20;4;30;1;14;1;1;1;0
12574;1;1;4;4;18;2;25;1;12;1;1;0;0
471211;1;1;2;4;16;3;155;1;12;1;6;1;0
224884;1;1;3;4;23;3;90;1;15;1;5;0;0
13536;1;1;3;4;15;3;30;1;12;1;1;1;0
11693;0;0;6;4;30;1;63;1;14;1;1;0;0
3219;1;1;2;4;18;4;100;1;17;5;5;1;0
1541;1;1;2;4;18;2;45;1;11;6;6;0;0
12283;1;1;2;4;20;2;10;2;15;3;2;0;0
578;0;0;6;4;23;2;60;2;11;6;1;0;0
3191;1;1;3;4;16;3;25;1;16;1;2;0;0
2605;1;1;2;4;18;3;40;1;1;5;1;0;0
478533;1;1;5;4;19;3;20;1;19;1;1;0;0
2510;1;1;2;4;18;3;25;1;10;3;6;0;0
228103;1;1;3;4;23;3;20;1;12;1;5;0;0
17274;1;1;2;4;18;3;40;1;13;1;1;1;0
1377;2;1;2;4;16;2;20;1;13;6;2;1;0
2730;1;1;2;4;18;2;250;2;11;1;7;0;0
487462;1;1;4;4;21;1;2;2;16;5;5;0;0
482290;1;1;3;4;20;2;45;2;15;1;1;0;0
487581;1;1;2;4;23;2;10;1;1;1;1;0;0
20570;1;1;3;4;23;1;30;1;14;1;1;1;0
230600;1;1;4;4;30;3;90;2;18;1;1;1;1
230977;1;1;6;4;20;3;1;1;14;6;1;0;1
234126;1;1;2;4;18;3;300;2;12;4;1;1;1
421991;0;0;11;4;30;3;3;2;11;5;1;1;1
423357;1;1;4;4;20;1;10;1;12;1;1;1;1
234215;1;1;2;4;18;2;30;2;15;1;1;0;1
240452;1;1;5;4;19;3;120;1;11;3;5;1;1
225142;1;1;3;4;32;2;102;1;18;1;2;1;1
234048;1;1;3;4;15;2;55;1;17;5;1;0;1
224686;1;1;6;4;20;2;20;2;15;1;1;0;1
422198;0;0;4;4;30;2;104;1;10;5;1;0;1
486820;1;1;4;4;18;2;6;1;11;1;1;0;1
233570;1;1;4;4;35;2;25;1;15;1;1;1;1
233111;1;1;4;4;50;2;14;1;11;1;1;0;1
422890;0;0;11;4;30;2;7;1;13;1;1;0;1
231990;0;0;3;4;30;2;60;2;12;5;2;0;1
473895;0;0;2;4;20;1;50;1;14;1;1;0;1
221721;1;1;5;4;30;2;40;1;14;1;1;0;1
420440;1;1;3;4;30;3;60;1;1;5;2;1;1
232076;0;0;4;4;30;1;45;1;1;5;1;0;1
486597;1;1;4;4;21;2;30;2;17;1;1;1;1
231982;1;1;1;4;32;2;55;2;1;5;1;0;1
483331;2;1;5;4;9;2;25;2;1;3;5;1;1
234795;1;1;4;4;20;2;50;1;17;1;1;0;1
226071;1;1;3;4;18;2;35;1;17;5;1;0;1
