RESPID;Q2_How many powerboats do you currently own?;Q2_Cluster_Own a boat?;Q4_Approximately how much did you pay for your current Boat?;Q5_What is the horse power of your engine brand/current boat engine? (the boat you want to buy);Q6_Length of Boat (in Feet);Q8_How would you rate your experience regarding boating?;Q10_During your boating season, how many days out of the year do you typically use your boat;Q11_Gender;Q12_HOUSEHOLD income;Q13_Are you now married, widowed, divorced, separated, never married, or living with a partner?;Q14_Current Employment Status;Q17_Recommend;Q18_PurchaseFuture
22984;1;1;6;6;21;4;35;1;13;6;1;1;0
11267;1;1;7;6;28;3;60;1;17;1;1;0;0
1945;1;1;4;6;45;3;85;1;17;1;1;0;0
17511;0;0;5;6;23;2;40;1;15;1;1;0;0
235837;1;1;6;6;25;2;60;2;12;3;5;0;0
8777;1;1;6;6;50;2;30;2;14;1;1;0;0
16444;0;0;3;6;22;2;60;1;13;1;1;0;0
17485;1;1;3;6;17;3;40;1;16;1;1;0;0
1417;1;1;6;6;25;3;120;2;16;1;1;1;0
2770;1;1;4;6;22;3;16;2;12;5;2;0;0
13530;1;1;3;6;19;2;30;2;15;1;1;0;0
20232;0;0;3;6;23;2;20;1;15;5;1;0;0
1558;1;1;3;6;20;3;75;1;15;1;5;0;0
2180;2;1;3;6;22;2;35;1;11;1;5;1;0
20459;1;1;4;6;25;3;20;1;12;3;1;0;0
17936;1;1;5;6;10;2;12;2;13;5;4;0;0
3987;1;1;4;6;22;2;30;1;14;5;1;1;0
223446;1;1;5;6;20;3;20;2;10;1;7;0;0
7649;1;1;3;6;21;3;30;1;17;6;2;1;0
310;0;0;2;6;20;3;12;1;15;1;5;0;0
234248;4;1;3;6;19;2;25;2;12;5;1;0;0
8289;1;1;4;6;25;2;30;1;15;5;2;1;0
20658;1;1;5;6;25;2;45;2;15;5;1;0;0
1323;1;1;5;6;25;3;100;2;13;1;1;1;0
13165;1;1;3;6;25;2;30;1;13;1;1;0;0
11054;0;0;9;6;45;2;60;1;13;1;1;1;0
4041;1;1;3;6;20;2;20;1;19;6;1;0;0
484828;2;1;2;6;20;3;60;1;15;5;1;0;0
223470;1;1;11;6;21;2;3;2;17;1;1;0;0
1369;2;1;4;6;30;4;50;1;17;1;2;1;0
1275;1;1;6;6;26;3;20;1;17;3;1;1;0
2456;1;1;2;6;20;2;30;1;14;1;1;0;0
