ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,geq 3 FPP Date,geq 10 FPP Date,geq 20 FPP Date,geq 35 FPP Date
756,,,,,40472,,,
757,,10,9,9,40246,40312,40434,40436
758,9,9,10,10,40323,40329,40448,
759,9,10,9,10,40303,40316,40316,40316
760,7,,,,40309,40323,,
761,10,,,,40455,40513,,
762,10,10,10,9,40330,40429,40474,40567
763,10,10,10,10,40271,40308,40329,40448
764,,,10,9,40325,40330,,
765,10,,,,40453,,,
766,10,8,8,10,40289,40290,40295,40296
767,8,9,9,8,40336,40465,,
768,,,10,,40473,40484,,
769,10,10,10,10,40331,40331,,
770,,,,,40472,40482,,
771,8,,,,40325,,,
772,,,,10,40299,40313,40324,40452
773,,,9,,40533,40554,,
774,10,,8,8,40336,40345,40469,
775,,,,,40297,,,
776,,,8,,40296,40316,40330,
777,10,,,,40319,40329,,
778,10,10,10,10,40287,40302,40318,40325
779,,,,,40333,40469,,
780,8,9,9,10,40283,40289,40324,40441
781,8,10,10,,40332,,,
782,9,,,,40458,40463,40465,
783,10,,,,40453,40463,40476,
784,10,10,9,,40295,40316,40327,40481
785,,,,,40337,40340,40476,
786,,10,,9,40366,40467,40527,
787,10,,9,8,40473,40497,,
788,9,,8,,40329,40479,,
789,9,9,,,40549,40564,,
790,10,10,10,10,40330,40458,,
791,8,8,,,40148,40324,,
792,9,,,,40184,40184,40190,40190
793,7,7,,,40458,40466,,
794,8,,,,40463,40554,,
795,,10,,,40331,40644,,
796,,,,,40480,40497,40505,
797,9,,,,40333,,,
798,10,10,,10,40321,40326,40333,40333
799,10,,,,40326,40330,,
800,10,,,9,40326,40329,40338,
801,10,,,7,40296,40309,,
802,7,,,,40330,,,
803,,,10,,40440,40511,,
804,,7,,9,40441,40477,,
805,8,9,9,10,40442,40448,40459,
806,,,,,40445,40463,40474,40481
807,8,,,,40471,40486,,
808,10,,10,,40275,40331,40528,
809,9,,,,40316,40329,,
810,8,9,,,40511,40530,40609,
811,,9,,9,40448,40466,40480,40619
812,,9,,9,40442,40451,40469,40603
813,10,10,10,10,40328,40336,,
814,,10,,,40435,40451,40471,40476
815,10,,,,40465,40477,40481,
816,,10,,10,40469,40611,,
817,9,,,,40319,40325,,
818,9,,10,,40465,,,
819,10,10,,,40316,40330,,
820,10,10,,,40322,40433,40458,
821,10,10,,,40402,40430,,
822,9,,8,9,40451,,,
823,9,9,,8,40301,40329,40453,
824,,10,,,40455,40463,,
825,10,,,,40454,40473,,
826,10,,10,9,40449,40449,40449,40450
827,,,,,40484,40491,,
828,10,10,,,40323,40329,40442,40476
829,8,,,,40428,40463,,
830,,,9,,40297,40312,,
831,,,7,,40216,40227,40234,40238
832,,,,,40458,,,
833,9,,,,40338,40441,,
834,,,,10,40321,40326,40338,40449
835,10,10,10,10,40305,40318,40325,40330
836,10,10,10,,40441,40443,40447,40455
837,10,,,,40455,40469,40472,
838,,,10,,40317,40456,40505,
839,,,,,40325,40328,,
840,,,,10,40345,40330,40330,
841,,,,,40441,40443,40445,40448
842,8,,8,,40317,40332,,
843,10,,,,40317,40325,40329,40452
844,10,10,10,10,40319,40331,40336,40371
845,9,,,,40302,40315,40318,40331
846,,8,,10,40468,40484,40501,
847,10,,10,,40311,40329,40330,
848,,,,9,40431,40448,40457,
849,10,,,,40262,40274,40277,40283
850,10,8,10,8,40317,40325,40330,40496
851,9,,,10,40311,40322,40326,40596
852,,,,10,40270,40321,,
853,10,7,10,10,40283,40327,40336,40339
854,9,,8,,40086,40106,40118,
855,9,9,8,9,40326,40330,40438,40456
856,10,,5,10,40437,40452,40464,
857,6,,,,40462,40474,40478,40485
858,10,10,10,10,40232,40241,40327,40455
859,10,9,,10,40289,40289,40290,40291
860,10,,10,,40340,40340,40340,40329
861,,10,10,10,40324,40329,40336,40472
862,10,9,9,,40334,40337,,
863,10,10,10,10,40330,,,
864,10,,,,40499,40501,,
865,9,10,10,10,40283,40288,40296,
866,8,,,10,40270,40325,40333,
867,10,10,10,10,40479,40479,40479,40479
868,8,,,,40482,40483,40486,40490
869,10,9,10,,40323,40330,40337,
870,10,10,8,7,40436,40446,40451,40464
871,10,9,,,40327,40439,,
872,10,,,,40318,40648,,
873,,,,,40333,,,
874,10,,,,40241,40257,40267,
875,10,,,,40318,40326,40331,40519
876,9,9,,,40330,40476,,
877,8,7,8,7,40334,40338,40464,
878,9,,,,40314,40320,,
879,8,8,,,40335,40340,40461,
880,8,,,,40336,40471,,
881,10,,,,40226,40316,40243,
882,10,,,,40330,,,
883,7,,,,40326,40333,,
884,,10,,,40324,40609,,
885,9,10,10,10,40451,40480,40483,
886,9,10,10,,40429,40429,40430,40430
887,10,,,,40452,40465,,
888,,8,,,40485,40490,40495,40496
889,,,,,40497,40616,,
890,10,10,,,40574,40574,,
891,9,9,9,10,40449,40468,40477,40482
892,10,10,10,10,40311,40312,40333,40473
893,10,9,9,10,40455,40468,40478,
894,10,7,8,10,40318,40326,40469,40562
895,10,10,10,10,40448,40451,40463,
896,10,10,10,10,40328,40331,40473,
897,9,10,9,,40270,40328,,
898,10,10,10,10,40325,40330,40338,
899,10,10,10,9,40291,40326,40330,
900,,10,10,10,40325,40325,40324,40329
901,10,,9,10,40297,40298,,
902,10,,,,40473,40511,,
903,8,,,,40554,40554,40554,
904,10,10,,8,40191,40288,40298,
905,10,10,,10,40525,40526,40528,40567
906,,,10,,40480,40623,,
907,,,10,,40606,40606,40606,
908,10,10,9,8,40470,,,
909,,,10,9,40319,40323,40325,40327
910,8,,9,,40389,40658,,
911,10,9,10,8,40295,40316,40323,40326
912,10,10,10,10,40233,40274,40416,
913,9,10,6,8,40315,40336,40606,
914,10,9,,10,40441,,,
915,,,,,40283,40407,,
916,10,,10,,40465,,,
917,10,,,,40451,40459,40620,
918,10,9,9,9,40329,40364,40441,40457
919,,9,9,,40330,40440,40476,40480
920,10,9,,,40469,,,
921,10,10,10,10,40315,40326,40330,40365
922,10,8,10,10,40308,40323,40463,
923,10,,5,,40283,,,
924,10,10,10,10,40296,,,
925,10,,,,40333,40625,,
926,9,,,,40458,40466,40484,
927,10,,,,40296,,,
928,9,,,,40333,,,
929,,,10,,40329,40367,40424,40430
930,10,,,,40489,,,
931,,,10,,40322,40330,40331,40331
932,10,,,,40479,,,
933,10,,,,40442,40442,40448,40456
934,,,,8,40455,40464,40490,40618
935,10,10,10,,40498,40498,,
936,9,,,,40455,40476,40483,40568
937,,,,9,40585,40585,40585,40585
938,10,,9,10,40326,40329,40330,40336
939,10,6,9,10,40468,40477,40486,
940,10,9,9,9,40556,40556,,
941,,,,,40501,40618,,
942,,10,10,10,40577,40577,40577,40577
943,9,,,,40425,40476,40483,
944,10,,,,40437,40444,40459,40469
945,10,10,9,10,40423,40433,40454,
946,10,10,10,10,40592,40592,40592,
947,10,10,10,10,40331,40337,40342,40344
948,10,10,,,40315,40329,40428,40450
949,,10,10,10,40443,40471,40480,40512
950,,10,,,40299,40329,40331,40449
951,9,9,9,8,40326,40330,40337,40464
952,9,10,,9,40312,40312,40323,
953,10,10,10,10,40309,40310,40498,
954,9,9,9,,40322,40325,40400,40434
955,9,,,,40638,,,
956,9,8,8,,40444,40457,40463,40469
957,9,8,10,10,40280,40280,40280,40280
958,10,9,9,,40297,40318,40328,40523
959,10,10,10,,40316,40328,,
960,,10,10,9,40487,40487,40487,40487
961,10,,,,40338,40343,40443,40450
962,,10,10,10,40456,40469,40476,40480
963,10,10,,,40308,40330,40437,
964,8,,,9,40092,40101,40154,40330
965,,,,,40497,40497,40497,40497
966,,10,10,10,40322,40330,40427,40471
967,10,10,10,10,40472,40472,40475,
968,10,10,10,10,40322,40327,40336,40407
969,10,10,10,10,40323,40399,40486,
970,9,10,,,40526,,,
971,,,10,10,40205,40219,40225,40312
972,8,,9,9,40312,40317,40322,40336
973,10,10,10,10,40288,40315,40330,40410
974,9,10,,,40330,40336,40448,40452
975,10,10,10,9,40310,40322,40325,40428
976,,9,9,,40254,40274,40303,40322
977,,,10,9,40324,,,
978,,,,10,40321,40329,,
979,10,,,,40477,40477,40477,40477
980,10,10,10,10,40245,40281,40319,40424
981,10,10,10,10,40438,40441,40448,40456
982,10,10,10,10,40289,40294,40305,40427
983,10,9,10,9,40316,40316,40316,40316
984,10,9,,10,40441,40459,40486,40496
985,8,,,8,40314,40316,,
986,10,,,,40477,40477,,
987,10,10,10,,40281,40282,40289,40324
988,,8,10,,40322,40326,40459,
989,9,9,8,8,40311,40315,40315,40315
990,,,9,,40449,,,
991,10,,10,10,40323,40406,40466,40531
992,9,,10,10,40278,40296,40330,40453
993,7,9,8,9,40327,40329,40329,40331
994,9,9,9,10,40319,40319,40319,40319
995,10,,9,,40343,40343,40343,40343
996,8,10,10,,40319,40329,40381,40502
997,9,10,,,40420,40432,40443,40450
998,,10,,9,40284,40288,40314,40327
999,,10,10,10,40310,40320,40327,40374
1000,,,,,40416,40457,40478,
1001,9,8,7,5,40427,40436,40445,40452
1002,10,,10,,40314,40330,40416,40529
1003,9,9,10,6,40237,40330,40463,
1004,8,10,9,,40422,40422,40468,40476
1005,10,,,,40302,40321,40326,40331
1006,10,,10,10,40316,40416,,
1007,10,10,10,10,40497,,,
1008,10,,,,40303,40318,40329,
1009,10,10,10,8,40255,40301,40332,
1010,10,,,,40326,40435,,
1011,,10,9,10,40296,40308,40321,40326
1012,10,8,9,9,40451,40469,40480,40487
1013,,,,,40331,40331,40337,
1014,10,9,10,10,40331,40484,40599,
1015,5,10,10,9,40329,40330,40337,40430
1016,10,10,9,9,40280,40311,40326,40330
1017,10,9,10,,40331,40338,,
1018,9,,,,40533,40547,40550,40555
1019,10,10,10,8,40450,,,
1020,9,9,9,9,40317,40325,40329,
1021,10,10,10,8,40365,40388,40421,40427
1022,10,10,,,40448,40463,40465,40466
1023,10,10,9,9,40317,40327,40330,40336
1024,10,9,,10,40330,40337,40469,40482
1025,,,,,40453,,,
1026,10,10,10,10,40252,40295,40323,40328
1027,10,10,10,9,40276,40300,40319,40326
1028,8,,9,,40260,40315,40323,40331
1029,10,10,10,10,40311,40319,40329,40336
1030,10,10,9,,40322,40332,40337,40556
1031,10,10,,,40436,40441,40448,40452
1032,10,10,10,10,40280,40294,40312,40329
1033,,9,9,9,40457,40462,40464,40467
1034,10,,,,40310,40322,40329,
1035,10,10,10,,40570,40576,40577,
1036,10,10,,,40325,40326,40330,40336
1037,10,,10,,40463,40472,40529,40585
1038,10,10,10,10,40278,40314,40466,40504
1039,10,10,10,10,40434,40468,40483,
1040,,,8,,40323,40442,40476,
1041,9,10,,,40329,40415,40429,40437
1042,10,,,10,40326,40326,,
1043,,,9,10,40428,40450,40459,
1044,10,10,10,10,40330,40331,40331,40331
1045,10,10,10,10,40487,40487,40487,40487
1046,,,,,40548,40554,,
1047,,,,8,40456,40479,,
1048,9,10,,,40493,40493,40493,40493
1049,10,10,10,10,40423,40424,40434,40449
1050,10,10,10,9,40469,40490,,
1051,10,10,10,10,40302,40437,,
1052,10,10,10,10,40315,40321,40326,40433
1053,10,10,10,10,40330,40337,40465,
1054,,9,10,9,40285,40301,40322,40327
1055,10,10,10,9,40330,40336,40451,
1056,9,9,9,9,40444,40470,40497,
1057,10,10,,,40320,,,
1058,10,,,,40479,,,
1059,10,10,10,10,40472,40472,40472,40472
1060,,10,,,40458,40461,40470,
1061,8,,10,10,40468,40477,40477,40660
1062,9,,,,40464,40469,40480,
1063,6,,,,40451,40455,40464,40476
1064,8,8,,9,40325,40327,40329,40332
1065,10,,,,40444,40451,40463,
1066,7,,,,40452,40456,40464,
1067,10,,,,40444,40446,,
1068,10,10,10,8,40316,40322,40324,40327
1069,10,10,10,10,40340,40376,40469,
1070,10,10,10,,40346,40448,40471,
1071,10,10,10,10,40283,40302,40317,40436
1072,10,10,,,40327,40501,,
1073,,,,,40332,40332,,
1074,10,,10,10,40331,40344,40505,40652
1075,,,2,,40591,40609,,
1076,,,8,,40336,40336,40336,40337
1077,10,10,8,10,40527,40534,,
1078,10,10,8,10,40441,40449,40456,40466
1079,10,10,10,8,40330,40337,40433,
1080,7,,,,40528,40532,40561,40627
1081,,,,,40318,40331,40339,40339
1082,6,10,10,10,40357,,,
1083,9,9,9,7,40321,40329,40433,40451
1084,10,10,10,10,40484,40484,,
1085,10,,10,,40300,40308,40313,40480
1086,10,10,10,10,40436,40462,40479,
1087,10,10,10,10,40612,40612,40612,40612
1088,10,,,10,40606,40606,40606,40606
1089,,10,10,10,40337,40337,40344,40639
1090,10,,,,40280,40294,40332,40449
1091,8,8,8,7,40295,40295,40295,40295
1092,,,10,10,40331,40338,,
1093,10,,,10,40323,40330,40428,40450
1094,10,10,10,9,40318,40323,40330,40452
1095,,10,10,9,40310,40327,,
1096,,10,,,40466,,,
1097,10,,,,40464,40480,40484,40486
1098,10,10,10,10,40292,40286,40292,40308
1099,10,,10,8,40430,40434,40438,40445
1100,10,10,10,10,40316,40329,40444,
1101,9,9,8,8,40473,40494,40503,
1102,8,,10,,40467,40470,40472,40473
1103,10,9,10,9,40294,40301,40305,40324
1104,9,9,8,8,40317,40333,40343,40364
1105,9,10,10,10,40483,40483,40483,40483
1106,,9,9,9,40263,40281,40328,
1107,10,10,10,9,40328,40336,40451,
1108,10,10,10,9,40282,40287,40297,40312
1109,10,,,10,40447,40456,40478,40483
1110,10,,,10,40447,40466,40478,40490
1111,,9,,,40308,40316,40323,40329
1112,,,,10,40342,40434,40471,40493
1113,,,10,9,40336,40337,40352,
1114,10,10,8,9,40330,40340,40459,
1115,10,9,9,9,40316,40327,40443,40571
1116,9,,,10,40337,40442,40451,40482
1117,10,,,,40497,40500,40501,
1118,10,10,10,7,40329,40368,40653,
1119,8,,10,,40466,40468,40469,40470
1120,10,10,10,10,40343,40368,40495,40522
1121,,10,10,10,40323,40344,40351,40464
1122,9,,9,9,40500,40500,,
1123,,,,,40463,40463,40463,40463
1124,9,10,10,10,40318,40325,40436,40495
1125,10,10,10,10,40315,40326,40592,
1126,10,9,,,40451,40466,40497,40546
1127,10,,,,40436,40442,40447,40451
1128,10,,10,,40239,40249,40253,
1129,,,,9,40451,40456,40463,40464
1130,,,,,40466,40466,40466,40466
1131,10,10,10,10,40455,40455,,
1132,10,,,,40463,40471,,
1133,10,10,10,10,40449,40451,40452,
1134,,,10,,40470,40480,,
1135,10,10,10,10,40317,40337,40456,
1136,7,,,,40339,40344,40348,
1137,10,,10,10,40338,40342,40344,40479
1138,,10,,10,40454,40461,40475,40481
1139,,10,10,10,40591,,,
1140,,10,,,40470,40470,40470,40470
1141,9,,,,40469,,,
1142,9,,10,,40252,40308,40327,40653
1143,8,8,10,10,40295,40305,40316,40322
1144,10,10,10,10,40245,40280,40312,40323
1145,10,10,9,9,40324,40269,40289,40316
1146,9,10,8,9,40312,40324,40330,40451
1147,10,10,,,40283,40309,40329,40437
1148,9,,10,8,40453,40472,40472,40472
1149,10,10,10,10,40444,40464,,
1150,10,,,,40441,40463,40477,40481
1151,9,10,10,10,40460,40465,40470,40479
1152,10,,,,40434,40435,40444,
1153,8,,7,,40215,40229,40241,40271
1154,10,10,10,9,40330,40291,40318,40330
1155,10,10,10,10,40332,40336,40337,40438
1156,10,10,10,10,40464,,,
1157,,,,10,40423,40451,,
1158,10,,,,40161,,,
1159,9,,,,40459,40470,40476,40478
1160,10,10,10,10,40316,40323,40326,40329
1161,10,8,,,40329,40333,40640,
1162,10,,,,40332,,,
1163,10,,,,40458,40458,40465,40476
1164,9,8,8,7,40337,40340,40485,
1165,10,10,10,8,40310,40318,40325,40331
1166,10,10,10,,40266,40325,40329,40466
1167,10,10,10,4,40322,40329,40331,
1168,,,,10,40497,40522,,
1169,10,,,,40330,40331,40579,
1170,8,10,9,10,40277,40316,40322,40326
1171,10,10,9,9,40326,40326,40326,40330
1172,10,10,,10,40246,40281,40307,40328
1173,,,,,40428,40443,40454,
1174,,10,,,40451,40589,,
1175,6,,,,40522,,,
1176,10,10,10,10,40448,40458,40463,
1177,8,,,,40318,40320,40329,40602
1178,,,,,40285,40292,40295,40297
1179,10,10,10,10,40316,40319,40329,40402
1180,10,10,10,7,40301,40322,40331,40463
1181,,,,10,40330,40450,,
1182,10,10,,10,40277,40324,40331,40574
1183,10,,,9,40437,,,
1184,10,,,,40555,40562,40568,40573
1185,10,6,,,40316,40323,40329,
1186,,,,10,40567,40567,40567,
1187,,8,8,9,40554,40554,40554,
1188,10,,,,40434,,,
1189,10,10,10,,40327,40492,,
1190,10,10,,,40338,40338,40338,
1191,,,,,40438,40453,40483,
1192,10,10,,,40347,40464,40617,
1193,10,10,10,10,40290,40301,40312,40325
1194,9,10,10,8,40310,40325,40329,40445
1195,10,,,,40266,40280,,
1196,10,10,10,10,40311,40336,40336,40336
1197,10,10,10,10,40219,40317,40604,
1198,,,,,40504,40505,40508,
1199,,,,,40476,40478,40478,40483
1200,10,10,9,10,40326,40330,40343,40533
1201,,,,,40463,40483,,
1202,10,,,,40305,40311,40319,40327
1203,9,9,9,10,40461,40466,40471,40631
1204,10,10,10,,40513,40513,40513,
1205,,10,10,10,40549,40549,40549,40549
1206,10,,,,40476,40486,40491,40493
1207,10,10,10,10,40324,40326,40329,40330
1208,,,,,40446,,,
1209,10,,,,40448,40457,40469,40477
1210,4,,10,8,40480,40483,40489,40501
1211,10,10,10,9,40320,40328,40330,40331
1212,10,10,10,10,40325,40329,40343,40463
1213,8,,9,,40318,40323,40325,40329
1214,10,,,,40420,40442,40451,40546
1215,,10,10,10,40638,40638,40638,
1216,9,,,,40437,40451,40451,40460
1217,10,,,,40493,40497,40499,40500
1218,,,10,,40337,40339,40344,40480
1219,10,10,10,10,40214,40238,40267,40312
1220,10,10,10,10,40300,40303,40304,40317
1221,,,,9,40423,40429,40448,40461
1222,10,,8,8,40445,,,
1223,10,10,,,40567,40569,40582,
1224,10,,,,40344,40651,,
1225,,,,,40553,40553,40553,40553
1226,10,9,8,8,40479,40491,40497,
1227,10,7,8,10,40280,40302,40319,40330
1228,10,,7,,40290,40295,40303,40309
1229,6,,,,40436,40441,,
1230,,,,,40322,40327,40330,40393
1231,,9,,,40444,40471,,
1232,10,10,10,10,40297,40316,40325,40449
1233,10,10,10,,40313,40315,40317,40326
1234,,7,8,,40429,40433,40435,40442
1235,3,10,10,10,40300,40310,40315,40321
1236,10,,10,,40316,40319,40325,
1237,8,,,,40563,40563,40563,
1238,7,10,,,40318,40326,40334,
1239,,8,10,,40280,40304,40323,40441
1240,10,,,10,40343,40351,40682,
1241,,,10,,40473,40478,40492,40561
1242,10,,,,40493,40497,40518,
1243,,9,10,,40344,40461,40482,
1244,10,,,,40437,40453,,
1245,10,10,,,40459,40472,40497,
1246,10,10,,10,40298,40317,40333,
1247,,10,10,10,40336,40459,40491,
1248,10,10,10,10,40324,40331,40450,40479
1249,,,,,40457,40462,40519,
1250,10,10,10,10,40309,40329,40346,
1251,2,9,10,9,40316,40331,40518,40547
1252,,10,7,10,40472,40472,40475,40483
1253,10,,,,40471,40483,40499,
1254,10,,10,10,40563,40567,40574,40608
1255,10,10,9,,40416,,,
1256,10,10,10,,40316,40321,40326,40512
1257,,,,10,40522,40666,,
1258,9,9,9,10,40319,40431,40455,
1259,8,9,10,9,40308,40308,,
1260,10,10,10,4,40476,40480,40484,40489
1261,,,,,40449,40449,40681,
1262,9,,,,40519,40541,40557,40571
1263,10,10,,,40323,40329,40466,
1264,8,,,,40269,40280,40283,
1265,10,9,,,40313,40326,40638,
1266,,,,8,40442,40450,40469,
1267,,,,,40476,,,
1268,10,,10,,40484,,,
1269,10,9,9,9,40283,40295,40308,40329
1270,8,7,10,10,40269,40309,40325,
1271,10,,,,40459,,,
1272,9,9,9,8,40308,40329,40579,
1273,,,10,,40484,,,
1274,8,,,,40309,40329,40582,
1275,10,10,9,8,40330,40449,40480,
1276,,7,,,40324,40344,,
1277,,,,,40456,,,
1278,,,,,40471,40471,40471,
1279,,,,,40463,40498,,
1280,9,10,10,,40301,40308,40316,40324
1281,5,,,,40582,40605,40605,
1282,10,,,,40197,40212,,
1283,10,10,10,8,40473,40488,,
1284,,,,,40476,40485,40491,40496
1285,,,,,40498,40499,40501,40645
1286,8,,10,,40499,40499,40499,40499
1287,10,8,10,,40317,40325,40331,40456
1288,10,10,10,10,40292,40318,40329,40421
1289,10,10,9,9,40325,40325,40325,40325
1290,8,,,,40468,40478,40484,
1291,10,,10,,40410,40469,40535,40644
1292,10,10,10,10,40253,40315,40322,40326
1293,,10,10,,40235,40270,40294,40322
1294,8,,,10,40477,40482,,
1295,,10,,10,40288,40323,40326,40411
1296,,8,,,40448,40487,,
1297,10,,10,10,40451,,,
1298,9,,,9,40282,40329,40494,
1299,9,10,10,,40315,40326,40330,40456
1300,9,,10,9,40513,40522,40550,
1301,,9,9,7,40303,40321,40449,
1302,10,10,9,10,40294,40294,40305,40324
1303,,,7,,40548,40550,40563,
1304,10,,3,,40476,40487,,
1305,,9,,,40421,40462,40505,
1306,,10,10,,40498,40572,40603,
1307,9,8,10,,40434,,,
1308,10,10,10,10,40458,40469,40484,
1309,,,9,,40275,40312,40330,40366
1310,7,,,,40517,40520,40556,
1311,10,8,9,,40552,40557,,
1312,10,10,8,10,40269,40283,40301,40314
1313,10,10,10,10,40319,40330,40336,40448
1314,,10,,,40482,40498,40500,40501
1315,10,,10,,40323,40326,40479,
1316,10,,,,40357,40471,40471,40484
1317,10,,9,10,40337,40337,40337,40337
1318,10,,8,,40340,40340,,
1319,10,9,10,9,40235,40248,40261,40282
1320,9,10,9,8,40449,40449,40449,
1321,10,9,,,40440,40456,40463,40469
1322,9,,,10,40338,40455,40464,40611
1323,10,,10,,39940,40332,40366,
1324,10,,,,40500,40511,40512,40527
1325,10,,,,40452,,,
1326,9,,,,40437,40447,40466,
1327,,10,,8,40450,40477,,
1328,,,,,40263,40269,40272,40273
1329,9,,,8,40429,40436,40441,40444
1330,,,10,,40482,40486,40491,40493
1331,9,,,,40467,40469,40470,40472
1332,10,10,10,,40273,40297,40326,40459
1333,,8,9,10,40440,40592,,
1334,10,10,10,10,40462,40467,40475,40487
1335,10,10,,10,40295,40330,40644,
1336,9,,,,40556,40563,40655,40655
1337,,,10,,40239,40338,,
1338,10,10,10,,40259,40278,40308,40451
1339,10,10,,10,40451,40469,40472,
1340,10,10,10,10,40310,40434,,
1341,7,10,9,,40450,40459,,
1342,10,,,,40492,,,
1343,,10,10,9,40325,40476,40484,
1344,8,4,9,,40596,40647,,
1345,9,,,,40330,40331,40476,
1346,9,,,,40478,40481,,
1347,10,9,,,40259,40287,40310,40330
1348,10,,10,10,40469,,,
1349,10,10,10,,40469,,,
1350,8,8,8,8,40329,40441,40451,
1351,9,9,10,10,40330,40456,,
1352,,,,,40463,,,
1353,10,8,8,,40464,40471,40473,
1354,10,10,,,40435,,,
1355,10,10,,,40433,,,
1356,10,,,,40322,40330,40471,
1357,,10,,,40466,,,
1358,9,,10,,40477,40483,40488,40494
1359,10,10,10,,40448,40458,,
1360,,,,,40287,40291,,
1361,,,,,40298,40311,40321,40381
1362,10,,,,40470,,,
1363,9,,,,40612,,,
1364,10,,,,40294,,,
1365,9,10,9,8,40246,40248,40250,40254
1366,10,,,,40445,40452,40457,
1367,10,,,,40651,40651,,
1368,10,9,9,8,40303,40330,40430,40491
1369,5,,10,,40470,40477,40483,
1370,10,10,8,10,40364,40395,40410,40420
1371,,,,10,40323,40330,40455,
1372,,,,,40322,40483,40489,
1373,10,,,,40421,40442,40457,
1374,8,,,,40338,40449,40464,
1375,,10,9,10,40458,40487,,
1376,10,10,10,10,40316,40328,40331,40469
1377,10,,,,40306,40316,40325,
1378,10,,,10,40330,,,
1379,7,8,,,40330,40465,40641,
1380,10,,,,40351,40354,,
1381,10,10,9,10,40318,40329,40441,
1382,10,10,10,10,40437,40442,40455,40458
1383,,,,,40120,40127,40134,
1384,7,,,,40469,40480,40589,
1385,8,8,9,8,40420,40429,40434,40452
1386,10,,10,,40312,40464,40516,
1387,10,,,,40447,40464,40466,
1388,10,,,,40491,40519,,
1389,10,,,,40310,40321,,
1390,,,,,40329,,,
1391,10,10,9,,40476,40577,,
1392,,,,,40480,40498,,
1393,10,10,10,10,40287,40316,40330,
1394,10,,10,,40296,40301,,
1395,10,9,9,10,40319,40336,40465,
1396,,,8,9,40458,40471,40475,40477
1397,8,,,,40455,40459,40464,40469
1398,10,10,,10,40325,40590,,
1399,10,9,10,10,40320,40325,40331,40470
1400,10,10,,10,40450,40470,40473,
1401,,9,,10,40452,,,
1402,9,9,10,,40319,40323,40328,40465
1403,10,,,,40452,40459,,
1404,,9,10,8,40443,40448,40451,40452
1405,10,10,10,10,40316,40330,40448,40481
1406,8,10,10,10,40302,40326,40330,40443
1407,9,,9,,40444,40451,,
1408,10,10,,,40294,40421,40436,
1409,10,10,10,10,40448,,,
1410,10,7,,,40459,,,
1411,8,10,,,40446,40456,40473,40480
1412,,,,,40436,,,
1413,,,,,40444,40448,40455,
1414,9,8,9,,40439,40452,40480,40484
1415,9,,,10,40461,,,
1416,10,,9,,40326,40330,40336,40466
1417,10,10,10,10,40463,40469,40476,40481
1418,9,,10,,40435,40503,,
1419,9,,10,,40451,,,
1420,,10,,,40451,40644,,
1421,10,,,,40458,,,
1422,10,10,10,10,40301,40326,40334,40475
1423,10,10,10,9,40330,40430,40452,
1424,9,9,8,10,40287,40287,40289,40302
1425,10,,9,10,40326,40330,40441,
1426,10,10,9,10,40324,40329,40449,
1427,9,9,,5,40322,40329,40611,
1428,,,10,9,40358,40365,40397,40469
1429,10,,10,,40319,40330,,
1430,10,,,,40326,40331,,
1431,,,,,40497,40504,,
1432,10,10,10,10,40318,40322,40331,
1433,10,10,10,,40251,40295,40438,
1434,8,8,,7,40296,40301,40306,40312
1435,10,10,,,40323,40331,,
1436,10,9,9,10,40302,40311,40329,40477
1437,10,9,10,10,40436,40447,40452,
1438,,,,,40318,40329,,
1439,10,,10,,40329,40329,,
1440,,10,10,10,40321,40323,40326,40329
1441,8,,,,40319,40323,40402,
1442,,,10,,40325,,,
1443,,,,,40450,,,
1444,10,,10,,40227,40235,40246,40281
1445,10,,,,40288,40330,,
1446,9,9,10,9,40305,40295,40304,40314
1447,10,10,10,9,40255,40299,40413,
1448,10,,,,40263,,,
1449,9,,9,9,40270,40295,40317,40329
1450,,10,10,10,40444,40451,40452,40662
1451,10,10,5,8,40322,40493,40591,
1452,10,,10,10,40324,40329,,
1453,10,10,9,10,40323,40329,40429,
1454,10,10,10,10,40324,40332,40435,
1455,,,,,40336,40336,40465,40625
1456,9,9,,,40497,40512,,
1457,10,,10,,39965,39969,39974,39985
1458,9,,10,,40291,40315,40330,
1459,10,10,10,9,40238,40269,,
1460,9,9,9,,40240,40262,40315,40405
1461,,,,,40454,40470,,
1462,10,10,,,40308,40330,40435,40445
1463,10,,,,40284,40295,40301,
1464,10,,,,40473,40482,40632,
1465,8,,,,40301,40324,,
1466,10,,,,40328,,,
1467,9,8,,,40431,40435,40447,
1468,10,,10,10,40325,40442,40459,
1469,10,10,10,8,40378,40428,,
1470,,10,,,40318,,,
1471,,,,,40450,40464,,
1472,,,,,40457,,,
1473,9,,,,40459,,,
1474,,,,,40471,,,
1475,10,,,,40470,,,
1476,10,,,10,40483,,,
1477,,,,,40475,40483,,
1478,10,,,,40489,40493,,
1479,9,,,,40511,40639,,
1480,10,9,9,,40522,40535,,
1481,9,,,,40511,40694,,
1482,8,10,9,9,40322,40326,40331,40463
1483,10,10,10,10,40259,40322,40459,
1484,9,10,10,10,40428,40471,,
1485,,10,,,40471,40477,40592,
1486,,9,,,40469,40469,40469,40469
1487,,,,10,40444,40471,40479,40498
1488,10,10,9,8,40343,40347,,
1489,,,,,40472,40485,,
1490,10,,10,,40476,40476,40476,40576
