ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,geq 3 FPP Date,geq 10 FPP Date,geq 20 FPP Date,geq 35 FPP Date
168,10,,,,40413,,,
169,10,9,10,10,40422,40445,40457,
170,10,,,,40126,40170,40184,
171,10,10,10,10,40324,40331,40428,40462
172,9,9,,10,40333,40333,40333,40333
173,10,10,10,10,40291,40311,40330,
174,10,,,,40440,40454,,
175,9,9,9,,40459,40549,,
176,10,,,,40298,,,
177,9,,,,40478,40485,40501,
178,10,,,,40420,40433,40569,
179,10,,,,40325,,,
180,10,,10,,40296,40318,40330,
181,9,,,,40465,40465,,
182,,,,,40333,40336,,
183,10,,10,9,40327,40520,,
184,10,10,,,40325,,,
185,10,,,,40491,,,
186,10,10,10,10,40260,40329,40359,
187,,,,9,40450,40459,,
188,10,10,10,,40437,40449,,
189,10,10,10,,40313,40327,40330,
190,10,9,,,40436,40437,40442,40450
191,10,9,,,40442,40455,40563,
192,10,10,10,10,40288,40268,40270,
193,,,,,40329,,,
194,,,10,,40309,40330,40450,
195,10,,,,40546,40546,40546,40546
196,10,,,10,40439,40465,,
197,10,,,,40281,40287,,
198,10,,,,40310,40315,40322,40330
199,10,10,10,10,40324,40463,,
200,10,10,,,40453,40455,40461,40465
201,10,10,9,10,40324,40326,40330,
202,10,10,10,10,40336,,,
203,10,10,10,10,40263,40269,40307,40394
204,9,10,9,8,40309,40319,40326,40336
205,9,,,,40317,,,
206,10,10,10,10,40222,40237,40329,
207,10,10,10,8,40329,40407,,
208,9,,,,40304,40298,40305,40314
209,9,7,,,40321,40329,40331,
210,9,,,,40310,40325,40329,
211,10,10,10,10,40330,,,
212,10,9,,,40467,,,
213,10,,10,,40448,40452,,
214,,,,,40450,40461,,
215,10,,,,40326,40333,40338,40387
216,10,9,,10,40324,40327,40331,40337
217,,,,,40436,40445,40447,40449
218,10,,,9,40318,40326,40457,
219,9,10,10,7,40318,40461,,
220,10,8,,,,,,
221,,,,,40445,40457,40462,40469
222,,,,,40448,,,
223,10,,,,40451,40464,40470,
224,9,,,,40554,40554,,
225,10,10,10,,40526,40526,40526,
226,9,,,,40449,40463,40466,40582
227,10,10,10,10,40312,40452,,
228,,,,,40520,40520,40520,40520
